CONTRATO,DTBASE
74,2021-07-31 00:00:00
72401,2021-02-28 00:00:00
72944,2021-12-31 00:00:00
73014,2021-09-30 00:00:00
73178,2021-09-30 00:00:00
73636,2021-03-31 00:00:00
74979,2021-12-31 00:00:00
75029,2021-12-31 00:00:00
75281,2021-12-31 00:00:00
75513,2021-10-31 00:00:00
76004,2021-04-30 00:00:00
76443,2021-12-31 00:00:00
76849,2021-12-31 00:00:00
77552,2021-02-28 00:00:00
77666,2021-03-31 00:00:00
77800,2021-12-31 00:00:00
78320,2021-01-31 00:00:00
78567,2021-12-31 00:00:00
79322,2021-07-31 00:00:00
79444,2021-11-30 00:00:00
79625,2021-03-31 00:00:00
79627,2021-12-31 00:00:00
79919,2021-12-31 00:00:00
79978,2021-04-30 00:00:00
80222,2021-06-30 00:00:00
80446,2021-07-31 00:00:00
80458,2021-11-30 00:00:00
80512,2021-12-31 00:00:00
80899,2021-01-31 00:00:00
80934,2021-11-30 00:00:00
81076,2021-02-28 00:00:00
81268,2021-06-30 00:00:00
81354,2021-12-31 00:00:00
82154,2021-12-31 00:00:00
82348,2021-08-31 00:00:00
82432,2021-12-31 00:00:00
82655,2021-12-31 00:00:00
83038,2021-12-31 00:00:00
83244,2021-11-30 00:00:00
83245,2021-12-31 00:00:00
83720,2021-12-31 00:00:00
84167,2021-12-31 00:00:00
84353,2021-12-31 00:00:00
84445,2021-12-31 00:00:00
84494,2021-12-31 00:00:00
84765,2021-12-31 00:00:00
84820,2021-12-31 00:00:00
84992,2021-12-31 00:00:00
85306,2021-05-31 00:00:00
85407,2021-01-31 00:00:00
85422,2021-11-30 00:00:00
85451,2021-12-31 00:00:00
85739,2021-11-30 00:00:00
86061,2021-12-31 00:00:00
86080,2021-12-31 00:00:00
86224,2021-08-31 00:00:00
86366,2021-12-31 00:00:00
86496,2021-02-28 00:00:00
86548,2021-12-31 00:00:00
86922,2021-04-30 00:00:00
87317,2021-08-31 00:00:00
87333,2021-05-31 00:00:00
87555,2021-12-31 00:00:00
87679,2021-12-31 00:00:00
88273,2021-12-31 00:00:00
88473,2021-03-31 00:00:00
88502,2021-12-31 00:00:00
88538,2021-12-31 00:00:00
88846,2021-07-31 00:00:00
89243,2021-09-30 00:00:00
89300,2021-12-31 00:00:00
89379,2021-05-31 00:00:00
89645,2021-06-30 00:00:00
89801,2021-10-31 00:00:00
90710,2021-12-31 00:00:00
90886,2021-12-31 00:00:00
90892,2021-12-31 00:00:00
91018,2021-12-31 00:00:00
91040,2021-12-31 00:00:00
91133,2021-11-30 00:00:00
91449,2021-12-31 00:00:00
91709,2021-12-31 00:00:00
91830,2021-12-31 00:00:00
92717,2021-12-31 00:00:00
92764,2021-11-30 00:00:00
92779,2021-12-31 00:00:00
92826,2021-12-31 00:00:00
92934,2021-12-31 00:00:00
93046,2021-12-31 00:00:00
93220,2021-12-31 00:00:00
93376,2021-12-31 00:00:00
93524,2021-12-31 00:00:00
93763,2021-12-31 00:00:00
94170,2021-12-31 00:00:00
94250,2021-12-31 00:00:00
94596,2021-12-31 00:00:00
94869,2021-12-31 00:00:00
95247,2021-12-31 00:00:00
95261,2021-09-30 00:00:00
95409,2021-12-31 00:00:00
95433,2021-12-31 00:00:00
95663,2021-05-31 00:00:00
95935,2021-06-30 00:00:00
96149,2021-12-31 00:00:00
96179,2021-12-31 00:00:00
96236,2021-09-30 00:00:00
96461,2021-12-31 00:00:00
97128,2021-12-31 00:00:00
97488,2021-12-31 00:00:00
97537,2021-12-31 00:00:00
97859,2021-12-31 00:00:00
97867,2021-12-31 00:00:00
97939,2021-12-31 00:00:00
97980,2021-12-31 00:00:00
98439,2021-12-31 00:00:00
99008,2021-12-31 00:00:00
99674,2021-12-31 00:00:00
100460,2021-10-31 00:00:00
100565,2021-11-30 00:00:00
101014,2021-12-31 00:00:00
101051,2021-12-31 00:00:00
101178,2021-10-31 00:00:00
101706,2021-12-31 00:00:00
101794,2021-12-31 00:00:00
102002,2021-12-31 00:00:00
102251,2021-12-31 00:00:00
102353,2021-12-31 00:00:00
102449,2021-12-31 00:00:00
102575,2021-12-31 00:00:00
102641,2021-12-31 00:00:00
102991,2021-12-31 00:00:00
103240,2021-12-31 00:00:00
103367,2021-12-31 00:00:00
103437,2021-12-31 00:00:00
103478,2021-12-31 00:00:00
103651,2021-12-31 00:00:00
103677,2021-12-31 00:00:00
103860,2021-12-31 00:00:00
103951,2021-12-31 00:00:00
104002,2021-12-31 00:00:00
104433,2021-12-31 00:00:00
104746,2021-12-31 00:00:00
105072,2021-12-31 00:00:00
105188,2021-12-31 00:00:00
105214,2021-12-31 00:00:00
105618,2021-12-31 00:00:00
105624,2021-12-31 00:00:00
105774,2021-12-31 00:00:00
106008,2021-12-31 00:00:00
106142,2021-12-31 00:00:00
106239,2021-12-31 00:00:00
106415,2021-12-31 00:00:00
106986,2021-12-31 00:00:00
107098,2021-12-31 00:00:00
107134,2021-12-31 00:00:00
107399,2021-12-31 00:00:00
107484,2021-12-31 00:00:00
107648,2021-12-31 00:00:00
107844,2021-12-31 00:00:00
187860,2021-10-31 00:00:00
198552,2021-12-31 00:00:00
206066,2021-10-31 00:00:00
271186,2021-01-31 00:00:00
304291,2021-12-31 00:00:00
